News org, Professional, Citizen, Unmarked, No Image, No Credit, Total (P+C+NoC+Unmarked)
USATODAY, 4382, 35, 452, 62, 9, 4878
WSJ, 1369, 5, 193, 23, 98, 1665
nytimes, 1942, 2, 267, 94, 78, 2289
latimes, 800, 2, 70, 0, 3, 875
chicagotribune, 743, 11, 164, 80, 122, 1040
nypost, 2576, 148, 417, 291, 43, 3184
washingtonpost, 2000, 31, 227, 402, 41, 2299
Newsday, 124, 3, 138, 21, 7, 272
StarTribune, 486, 3, 95, 106, 32, 616
NYDailyNews, 899, 51, 63, 25, 7, 1020
denverpost, 931, 0, 19, 268, 135, 1085
dallasnews, 584, 2, 138, 324, 78, 802
azcentral, 1299, 28, 259, 82, 1, 1587
tampabay, 626, 5, 114, 142, 353, 1098
BostonGlobe, 1682, 12, 187, 103, 171, 2052
seattletimes, 1364, 2, 140, 81, 45, 1551
starledger, 25, 0, 4, 7, 4, 33
PhillyInquirer, 1055, 34, 192, 8, 111, 1392
amNewYork, 140, 4, 191, 2, 4, 339
sfchronicle, 1419, 12, 156, 7, 55, 1642
PioneerPress, 644, 8, 78, 170, 57, 787
orlandosentinel, 866, 20, 114, 153, 171, 1171
sdut, 541, 3, 117, 124, 42, 703
KCStar, 411, 13, 57, 24, 77, 558
StarAdvertiser, 510, 1, 92, 162, 2, 605
ajc, 684, 14, 117, 325, 180, 995
freep, 2028, 14, 201, 84, 6, 2249
PittsburghPG, 1515, 8, 140, 17, 48, 1711
hartfordcourant, 556, 14, 30, 15, 60, 660
WaPoExpress, 116, 3, 52, 9, 20, 191
mercnews, 2624, 30, 334, 265, 192, 3180
journalsentinel, 1597, 65, 247, 53, 0, 1909
virginianpilot, 506, 4, 52, 30, 11, 573
stltoday, 969, 2, 103, 62, 252, 1326
Suntimes, 834, 26, 138, 18, 75, 1073
sacbee_news, 312, 23, 58, 74, 51, 444
ocregister, 2083, 5, 688, 61, 220, 2996
TheBuffaloNews, 707, 19, 47, 194, 72, 845
SunSentinel, 671, 19, 203, 204, 58, 951
ArkansasOnline, 67, 1, 42, 79, 97, 207